0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
1,0.64280625,0.64403125,0.64370625,0.64325,0.642875,0.64338125,0.64364375,0.6429625,0.64221875,0.64329375,0.642975,0.64316875,0.64355,0.643525,0.6433,0.643125,0.6431,0.643075,0.642625,0.6434125,0.643525,0.642625,0.64249375,0.6434375,0.6435875,0.6433,0.64289375,0.642925,0.64324375,0.64325,0.6435875,0.64248125,0.64284375,0.6426625,0.6434125,0.64296875,0.64240625,0.63993125,0.64271875,0.6427125,0.64210625,0.6406625,0.6353375,0.6353625,0.641175,0.64258125,0.64298125,0.6422125,0.6429375,0.64326875,0.6428875,0.6421,0.64291875,0.6430875,0.6422125,0.6439875,0.64289375,0.64215,0.64285625,0.6421625,0.64205625,0.64288125,0.64320625,0.64188125,0.642475,0.64309375,0.6425375,0.6427625,0.64265,0.6423,0.64143125,0.64125625,0.643125,0.6423,0.466675
0.64280625,1,0.64359375,0.64276875,0.6429,0.64280625,0.64366875,0.6430875,0.64295625,0.64279375,0.6431125,0.643375,0.64271875,0.6434,0.64321875,0.6433125,0.64310625,0.6428875,0.64251875,0.643475,0.643125,0.64324375,0.64285625,0.64288125,0.64340625,0.64333125,0.64314375,0.64288125,0.643025,0.64268125,0.64319375,0.64306875,0.64261875,0.64275,0.64328125,0.6428625,0.64225625,0.64253125,0.6404,0.642775,0.64286875,0.64198125,0.64140625,0.63741875,0.635925,0.641725,0.64201875,0.6426125,0.64206875,0.6427125,0.64345625,0.6425375,0.6419625,0.64236875,0.64279375,0.64224375,0.64366875,0.64264375,0.64254375,0.64301875,0.64204375,0.64185625,0.64280625,0.643475,0.64230625,0.64244375,0.64295625,0.64185,0.6425125,0.6426625,0.6430875,0.641575,0.6412375,0.64271875,0.64224375,0.4654625
0.64403125,0.64359375,1,0.644975,0.64684375,0.64659375,0.6468125,0.6469625,0.64705,0.6459625,0.6472875,0.646825,0.64698125,0.64714375,0.64684375,0.64689375,0.64615625,0.646275,0.6466125,0.6462375,0.64661875,0.64739375,0.64564375,0.64638125,0.646375,0.6470625,0.6464625,0.64665625,0.64589375,0.6460875,0.64626875,0.64698125,0.6457625,0.6461375,0.64628125,0.6463625,0.6457375,0.64580625,0.644275,0.64631875,0.64644375,0.6453125,0.64489375,0.63939375,0.64093125,0.6443625,0.64611875,0.64568125,0.64543125,0.64665,0.64706875,0.6458625,0.64518125,0.6461875,0.6461,0.6460875,0.6471625,0.64651875,0.645875,0.64609375,0.64540625,0.64516875,0.64621875,0.64654375,0.6451875,0.6460375,0.646175,0.645825,0.6457375,0.6465375,0.64594375,0.6446125,0.64520625,0.64695625,0.645625,0.467775
0.64370625,0.64276875,0.644975,1,0.64783125,0.6473875,0.64809375,0.6480125,0.64741875,0.6462125,0.64811875,0.64754375,0.64704375,0.648275,0.6480375,0.64750625,0.64770625,0.647525,0.6472625,0.6466625,0.64841875,0.64813125,0.6466375,0.64788125,0.6475875,0.6484625,0.64745,0.6475125,0.64725625,0.64786875,0.6474625,0.64765,0.64653125,0.6468375,0.6472875,0.6469875,0.64665625,0.64755625,0.64480625,0.647,0.6529,0.64600625,0.6458875,0.640025,0.6414375,0.64575,0.6465125,0.647425,0.6469,0.64781875,0.6475875,0.64746875,0.645975,0.64736875,0.64755,0.64648125,0.64806875,0.64661875,0.64651875,0.64780625,0.64656875,0.6461875,0.64685625,0.64778125,0.64643125,0.64663125,0.64730625,0.64684375,0.6478125,0.64704375,0.646225,0.64555625,0.64573125,0.6471,0.64706875,0.46853125
0.64325,0.6429,0.64684375,0.64783125,1,0.65080625,0.6510375,0.651675,0.65118125,0.65061875,0.652025,0.65055,0.65109375,0.6513125,0.65155,0.65085,0.6511,0.65070625,0.6506875,0.65085,0.6510125,0.65155,0.649975,0.65144375,0.65096875,0.651375,0.65081875,0.65090625,0.6503125,0.6514,0.65085625,0.65090625,0.65035,0.6501375,0.6510625,0.650775,0.650125,0.65030625,0.64828125,0.65075,0.65070625,0.64968125,0.6495375,0.64338125,0.64393125,0.6491125,0.649925,0.65015625,0.65015625,0.6512375,0.651275,0.6505875,0.64985,0.650975,0.65100625,0.65023125,0.65148125,0.65065,0.6499375,0.65079375,0.6501,0.6497875,0.65045625,0.65154375,0.6490375,0.649975,0.65026875,0.65004375,0.65146875,0.65075,0.6502125,0.6492625,0.64905,0.6506,0.65075625,0.4719625
0.642875,0.64280625,0.64659375,0.6473875,0.65080625,1,0.65144375,0.6512125,0.65096875,0.649525,0.65201875,0.6508125,0.65175625,0.6518,0.6512,0.65094375,0.65103125,0.650275,0.65076875,0.65048125,0.65099375,0.65148125,0.65009375,0.65139375,0.65183125,0.65155625,0.6507625,0.65040625,0.649325,0.65029375,0.6503125,0.650775,0.65036875,0.649525,0.6504125,0.65029375,0.6508125,0.6504875,0.64743125,0.65036875,0.65006875,0.64951875,0.6492375,0.64338125,0.6441,0.64905625,0.64946875,0.64993125,0.6496125,0.65053125,0.65141875,0.6504625,0.64928125,0.65004375,0.65090625,0.64931875,0.6513875,0.65065625,0.6500625,0.65090625,0.64990625,0.64925625,0.6502875,0.65070625,0.64960625,0.650475,0.65058125,0.65078125,0.6510125,0.65120625,0.65024375,0.6484875,0.6487375,0.65085,0.650275,0.4721875
0.64338125,0.64366875,0.6468125,0.64809375,0.6510375,0.65144375,1,0.6521375,0.6515625,0.6507375,0.65263125,0.6513125,0.65121875,0.65160625,0.6520375,0.652075,0.6516125,0.6522,0.6516125,0.6510625,0.6512875,0.65220625,0.6510125,0.6512875,0.65183125,0.65188125,0.651475,0.6513875,0.65121875,0.65098125,0.65128125,0.651875,0.65071875,0.65068125,0.65160625,0.65160625,0.65065,0.65136875,0.6486,0.6507875,0.65101875,0.64955625,0.64979375,0.64436875,0.64379375,0.649675,0.65061875,0.6510375,0.65074375,0.65186875,0.65135625,0.65083125,0.64993125,0.65124375,0.65155,0.651075,0.6515875,0.65126875,0.6501625,0.65126875,0.6504625,0.64985,0.65134375,0.6514875,0.65035,0.650375,0.65130625,0.65100625,0.65130625,0.6515875,0.650575,0.64950625,0.64901875,0.65139375,0.65058125,0.4731
0.64364375,0.6430875,0.6469625,0.6480125,0.651675,0.6512125,0.6521375,1,0.6526375,0.65116875,0.65324375,0.6514375,0.6514875,0.653225,0.65196875,0.65239375,0.65181875,0.65183125,0.65163125,0.6513625,0.65200625,0.65209375,0.65113125,0.65214375,0.6520375,0.6524,0.65225625,0.6524375,0.65084375,0.6516125,0.6519875,0.652975,0.65083125,0.65063125,0.6520625,0.65213125,0.65106875,0.65158125,0.6495625,0.65169375,0.6517875,0.65023125,0.65060625,0.64528125,0.64523125,0.64971875,0.651075,0.651325,0.65094375,0.65221875,0.65199375,0.6520875,0.65006875,0.65183125,0.6519375,0.65094375,0.652475,0.65198125,0.6508375,0.65119375,0.65155,0.65066875,0.65203125,0.6519625,0.6507,0.65160625,0.65175,0.651025,0.6515625,0.65224375,0.65128125,0.6490875,0.64980625,0.65175625,0.65124375,0.47290625
0.6429625,0.64295625,0.64705,0.64741875,0.65118125,0.65096875,0.6515625,0.6526375,1,0.6503625,0.65175625,0.651425,0.65149375,0.6520625,0.6513875,0.65189375,0.651475,0.65146875,0.6508875,0.6511125,0.65130625,0.6513125,0.65099375,0.65088125,0.65095,0.65293125,0.65108125,0.65139375,0.65029375,0.65104375,0.6509625,0.65133125,0.64986875,0.650075,0.652,0.6511125,0.65084375,0.65123125,0.64895,0.6510125,0.65135625,0.64989375,0.64885,0.6442875,0.64404375,0.6491375,0.64998125,0.650625,0.65006875,0.65198125,0.6517,0.650675,0.6497875,0.65154375,0.65185625,0.6503375,0.65208125,0.650925,0.65035625,0.650775,0.64990625,0.65034375,0.6511125,0.65129375,0.64926875,0.65093125,0.65119375,0.6501625,0.65099375,0.65086875,0.6503625,0.6486375,0.64904375,0.65116875,0.65015,0.4718125
0.64221875,0.64279375,0.6459625,0.6462125,0.65061875,0.649525,0.6507375,0.65116875,0.6503625,1,0.65191875,0.6506875,0.65070625,0.65151875,0.6509875,0.65043125,0.6511625,0.65059375,0.64965,0.6508375,0.65069375,0.65056875,0.649825,0.65051875,0.6508875,0.6506875,0.6502375,0.6507125,0.6500125,0.6502125,0.65040625,0.6504125,0.656525,0.64969375,0.65099375,0.65046875,0.65001875,0.64990625,0.64795625,0.650525,0.6501375,0.6489375,0.64901875,0.64345625,0.6422375,0.6485875,0.64935625,0.6501375,0.64994375,0.6506875,0.6511125,0.649425,0.64953125,0.6504125,0.6504,0.65006875,0.650925,0.64954375,0.64885625,0.6506375,0.649625,0.64881875,0.65079375,0.6509125,0.64953125,0.6499125,0.64954375,0.64981875,0.65024375,0.65035,0.65026875,0.64878125,0.6480875,0.6502375,0.6497125,0.472525
